code,,cygnus
-124354.6902,,997.04
-120281.8448,,-51559.17
-113756.7894,,-99072.42
-106454.6533,,-137058.82
-98422.06221,,-162001.72
-90507.3989,,-171659.86
-59624.44063,,-165224.4
1146.644491,,-143337.48
63336.75245,,-108002.63
103850.541,,-62413.76
118381.0971,,-10712.88
127838.299,,42328.67
135310.8895,,91710.08
138661.9078,,132667.59
135856.0039,,161162.77
108381.776,,174323.61
50563.71398,,170764.84
-13644.26477,,150735.07
-74211.18906,,116075.91
-103652.0128,,70017.01
-103031.9307,,16854.08
-99840.50391,,-38441.59
-98318.1266,,-90648.17
-97972.211,,-134736.53
-99251.31193,,-166321.01
-89642.4758,,-182096.1
-40810.53028,,-180216.56
22205.92167,,-160560.59
82484.95549,,-124816.32
125546.5747,,-76355.26
137893.9465,,-19897.03
139413.731,,38987.97
135939.2865,,94462.79
128473.4015,,141014.88
117591.41,,173988.3
86921.73206,,190017.31
31948.64475,,187341.54
-28503.34686,,165992.09
-77330.86673,,127834.65
-92675.11579,,76451.07
-97472.24718,,16844.09
-103770.7453,,-45031.58
-110159.7232,,-102876.98
-116129.8741,,-150727.88
-115828.1703,,-183614.06
-82670.83259,,-198106.88
-28414.02929,,-192682.23
27367.2971,,-167861.53
79538.59324,,-126130.33
117117.0166,,-71663.35
124505.1622,,-9899.12
118778.0194,,52990.03
111382.453,,110690.54
103489.5156,,157361.44
94799.87261,,188223.45
76800.63865,,200067.91
32253.16492,,191623.85
-19749.15203,,163726.06
-69069.08084,,119247.18
-103497.0258,,62790.59
-117028.5931,,181.01
-125801.7422,,-62176.97
-132826.3143,,-117984.16
-135900.2603,,-161690.05
-125066.2357,,-189027.45
-89243.00542,,-197398.04
-43203.55275,,-186091.89
7508.219183,,-156337.38
57492.44183,,-111182.45
94078.85004,,-55209.1
99825.12591,,5909.56
96411.5228,,65982.89
95046.36765,,118953.83
95262.73254,,159549.81
97486.82052,,183843.81
91131.23609,,189646.23
53093.48441,,176679.63
1282.096062,,146530.82
-51009.81009,,102413.92
-98151.6061,,48799.34
-130326.0482,,-9035.46
-137534.4858,,-65492.15
-135099.6655,,-115149.76
-128770.7244,,-153255.49
-120058.8638,,-176180.28
-103964.6243,,-181793.55
-62169.54436,,-169699.84
-7720.203128,,-141286.07
47548.15072,,-99556.57
84867.74085,,-48775.96
95065.72426,,6019.23
102306.7954,,59557.58
109680.0547,,106840.1
116608.6038,,143567.07
121846.0198,,166466.89
111276.2822,,173532.98
65619.53612,,164178.13
6501.362503,,139302.17
-54112.41104,,101250.8
-106465.7398,,53638.43
-124413.1177,,1022.91
-120398.208,,-51546.9
-113823.7552,,-99053.58
-106480.5366,,-137024.71
-98363.50064,,-161961.86
-90396.62366,,-171635.63
-59696.36854,,-165234.4
946.5516742,,-143384.61
63078.85803,,-108070.93
103381.2885,,-62476.56
117823.5552,,-10746.59
127292.2012,,42333.86
134842.6205,,91748.66
138309.2419,,132725.82
135692.7914,,161228.69
108599.929,,174392.46
50883.61214,,170836.84
-13329.86514,,150808.07
-73960.98363,,116139.52
-103613.8807,,70053.97
-103046.0123,,16849.2
-99745.28548,,-38490.22
-98108.24372,,-90723.68
-97641.31578,,-134808.6
-98789.88252,,-166360.1
-89508.45474,,-182089.01
-41037.31108,,-180173.53
22070.69362,,-160509.13
82409.04896,,-124784.59
125308.3945,,-76354.52
137613.298,,-19913.83
139256.7771,,38984.62
135866.0174,,94502.88
128374.7409,,141107.78
117547.1088,,174113.66
87005.90873,,190131.98
32055.35198,,187399.23
-28439.42087,,165965.15
-77275.25559,,127726.62
-92445.921,,76293.64
-97083.28212,,16681.06
-103220.3112,,-45164.11
-109542.0551,,-102963.92
-115503.6229,,-150775.93
-115447.386,,-183641.83
-82631.85115,,-198131.11
-28284.16565,,-192708.56
27613.07688,,-167883.67
79881.82663,,-126136.54
117368.6078,,-71644.73
124548.7928,,-9854.71
118837.8774,,53053.48
111431.001,,110762.02
103535.5155,,157428.89
94775.28569,,188274.25
76675.51359,,200087.8
32042.52208,,191597.28
-20112.50199,,163640.79
-69383.8381,,119102.22
-103235.868,,62603.25
-116517.7216,,-12.64
-125316.7093,,-62331.33
-132388.6672,,-118060.51
-135580.8092,,-161672.85
-124786.5259,,-188931.88
-88864.32217,,-197263.9
-42848.74116,,-185965.97
7806.302048,,-156252.76
57735.04767,,-111145.17
94201.82934,,-55198.88
99842.69438,,5925.19
96331.81647,,66028.83
94860.40114,,119032.75
94928.70807,,159639.91
96951.45153,,183909.74
90576.59991,,189656.82
52642.56032,,176622.99
991.1210526,,146419.55
-51220.76586,,102278.89
-98256.21227,,48676.48
-130211.3837,,-9118.19
-137378.7835,,-65521.81
-135032.3868,,-115127.98
-128703.7139,,-153193.33
-120009.6452,,-176092.66
-103869.54,,-181696.3
-61965.24942,,-169609.11
-7499.636114,,-141217.81
47621.19622,,-99523.76
84704.3496,,-48783.73
94696.83107,,5977.91
101814.9229,,59501.71
109135.7004,,106794.32
116045.0716,,143550.98
121344.3573,,166485.17
110955.4006,,173571.99
65585.29324,,164211.81
6622.508958,,139304.99
-53839.58564,,101211.59
-106207.6218,,53567.68
-124395.5492,,949.2
-120446.1748,,-51589.99
-113859.518,,-99044.09
-106506.3306,,-136964.07
-98316.60668,,-161875.89
-90275.65602,,-171563.9
-59774.42083,,-165212.99
768.8106023,,-143430.05
62876.88766,,-108172.64
102983.785,,-62601.11
117326.9889,,-10851.48
126787.9905,,42283.14
134364.5614,,91765.6
137981.6101,,132799.27
135528.9084,,161329.29
108761.1745,,174485.98
51175.79415,,170898
-13102.36908,,150828.98
-73800.36399,,116129.46
-103618.0381,,70031
-103085.7537,,16828.29
-99675.54804,,-38506.64
-97924.69119,,-90747.82
-97343.23291,,-134860.51
-98395.64245,,-166455.17
-89378.85933,,-182225.86
-41205.70912,,-180329.05
21915.25959,,-160644.07
82249.09988,,-124858.22
125025.2873,,-76341.86
137319.6408,,-19817.25
139102.0136,,39135.58
135881.5743,,94663.88
128468.7523,,141238.51
117674.1562,,174193.97
87134.9677,,190167.33
32144.44603,,187412.9
-28375.00314,,165981.71
-77210.25672,,127755.83
-92226.02454,,76323.83
-96744.02735,,16685.81
-102799.8302,,-45209.47
-109075.6636,,-103064.97
-114988.7729,,-150910.84
-115152.9241,,-183767
-82763.45822,,-198198.49
-28359.13341,,-192686
27673.11366,,-167768.48
80019.55807,,-125955.65
117414.6971,,-71442.27
124532.476,,-9673.65
118852.3166,,53186.49
111431.5821,,110842.25
103545.6632,,157468.59
94715.69594,,188291.71
76549.27093,,200096.8
31907.33873,,191602.09
-20366.2837,,163637.5
-69588.62479,,119083.96
-102866.1702,,62565.46
-115924.7298,,-69.62
-124769.0022,,-62402.12
-131870.6431,,-118135.69
-135191.3524,,-161739.69
-124518.2603,,-188975.12
-88588.85927,,-197268.08
-42583.24714,,-185920.45
8064.464696,,-156158.28
57976.3124,,-111018.25
94313.76687,,-55070.27
99849.80224,,6019.85
96211.11705,,66063.18
94619.80696,,119001.98
94578.63505,,159564.2
96509.37873,,183825.54
90283.97087,,189599.34
52479.92903,,176608.63
838.6821555,,146437.97
-51324.61206,,102299.69
